gram,ax,ay,az,gx,gy,gz
gz

-0.044795,0.016724,-0.072144,1.005127,1.098633,0.366211,0.854492
-0.168071,-0.015381,-0.146484,0.999146,-4.638672,-1.647949,1.586914
-0.170437,0.004272,-0.074951,0.993164,-1.586914,0.244141,0.610352
-0.094000,0.001465,-0.073364,1.000244,-0.549316,0.000000,0.671387
-0.029600,0.004517,-0.077271,1.004517,-0.122070,15.563965,0.793457
0.003117,0.011597,-0.092896,0.987915,-1.159668,0.061035,0.854492
-0.112895,0.002197,-0.073730,1.003418,-0.244141,0.000000,0.610352
0.173294,0.001099,-0.074097,1.004150,-0.122070,0.183105,0.610352
0.056741,0.000977,-0.077148,1.004272,-0.305176,0.122070,0.671387
-0.140253,0.002930,-0.075317,1.000732,-0.305176,0.183105,0.732422
-0.109854,0.003540,-0.076050,1.001831,-0.061035,0.183105,0.671387
-0.139871,0.002075,-0.074951,1.004028,-0.305176,0.061035,0.732422
-0.150422,0.002930,-0.079102,1.000366,-0.122070,0.122070,0.671387
-0.024421,0.002686,-0.077026,1.003906,-0.183105,0.183105,0.671387
0.032400,0.002930,-0.074707,1.001953,0.000000,0.122070,0.610352
-0.111632,0.010010,-0.069336,1.001587,-0.305176,0.000000,0.610352
-0.154963,-0.006958,-0.052246,0.997681,2.746582,0.122070,0.610352
-0.212295,0.005249,-0.073975,1.004150,-0.610352,0.122070,0.732422
-0.036697,0.005859,-0.075195,1.001831,-0.183105,0.122070,0.549316
-0.123531,0.002319,-0.076050,1.002930,-0.061035,0.122070,0.671387
-0.130151,0.001709,-0.075928,1.002930,-0.183105,0.122070,0.671387
-0.280839,0.003052,-0.076416,1.003052,-0.244141,0.183105,0.671387
-0.059886,0.003784,-0.076782,1.002686,-0.305176,0.122070,0.549316
-0.062197,0.004761,-0.074951,1.003418,0.488281,0.183105,0.610352
-0.187966,-0.001831,-0.071777,1.003662,0.976562,0.061035,0.732422
-0.187061,0.003174,-0.076904,1.000122,-1.220703,0.061035,0.671387
-0.009089,0.003052,-0.077148,1.005005,0.549316,0.122070,0.732422
0.044778,0.003174,-0.072876,1.001343,-0.427246,0.183105,0.610352
-0.203601,0.000732,-0.093384,1.003052,0.305176,0.244141,0.732422
-0.008892,-0.005127,-0.077759,1.002319,-0.793457,0.000000,0.549316
0.000753,0.000366,-0.074951,1.002808,0.732422,0.000000,0.671387
-0.131614,0.002563,-0.072632,1.002197,-0.061035,0.061035,0.610352
0.021555,0.004517,-0.074585,1.001831,-0.549316,0.122070,0.732422
-0.122825,0.002075,-0.075317,0.999878,-0.427246,0.183105,0.732422
-0.168938,0.003784,-0.074219,1.002075,-0.488281,0.061035,0.671387
0.021200,0.003174,-0.071411,0.998169,-0.183105,0.122070,0.671387
0.086574,0.005127,-0.079590,0.996338,0.122070,0.305176,0.732422
-0.031941,0.002808,-0.072510,0.999512,-0.061035,0.183105,0.610352
-3.713301,0.002075,-0.070801,0.997559,-0.671387,0.122070,0.976562
1.146551,0.009644,-0.075073,0.981201,-1.220703,-0.427246,0.488281
1.167592,-0.000854,-0.075684,1.001831,-0.671387,0.061035,0.793457
0.402442,0.003052,-0.076660,1.000610,-1.831055,0.732422,0.732422
0.941117,0.004272,-0.088013,1.002808,-0.183105,0.427246,0.549316
4.442038,0.006958,-0.070679,1.005859,2.136230,-0.061035,0.610352
-0.058822,-0.002808,-0.077148,1.001099,-0.610352,0.000000,0.793457
1.136809,0.001099,-0.082031,1.005249,-0.671387,0.183105,0.671387
-1.698468,0.003296,-0.072510,1.002930,0.671387,0.183105,0.732422
1.704019,0.000610,-0.074463,1.004639,-0.610352,0.061035,0.732422
4.750815,0.018433,-0.082520,0.998535,-0.976562,0.244141,0.488281
5.459459,0.003662,-0.064087,1.000854,-1.281738,0.244141,0.854492
2.664633,0.002319,-0.078491,1.002930,0.183105,0.183105,0.732422
5.324567,0.000244,-0.076538,1.004150,0.244141,0.244141,0.610352
3.255098,0.001343,-0.073975,1.003296,0.000000,0.122070,0.671387
3.020556,0.004639,-0.076660,1.000366,-0.183105,0.122070,0.793457
2.640227,0.002441,-0.075562,1.003418,-0.244141,0.061035,0.671387
3.780250,0.004639,-0.074707,1.002197,-0.732422,0.122070,0.610352
1.915991,0.001709,-0.072754,1.000610,-0.061035,0.122070,0.671387
2.539024,-0.000366,-0.072754,1.004639,0.122070,0.061035,0.671387
1.370522,0.000366,-0.074341,1.002319,0.366211,0.122070,0.671387
3.838484,0.003174,-0.075073,1.001953,-0.427246,0.122070,0.671387
1.976137,0.001953,-0.076172,1.003784,-0.183105,0.061035,0.732422
1.457429,0.001831,-0.072266,1.004028,-0.183105,0.061035,0.732422
6.956065,0.001343,-0.074951,1.002075,-0.244141,0.183105,0.732422
6.581784,0.002808,-0.073608,1.006348,-0.427246,0.061035,0.854492
4.623484,0.002075,-0.074463,1.006714,-0.549316,0.122070,0.732422
2.453293,0.002197,-0.075562,1.003540,-0.061035,0.122070,0.671387
3.856158,0.001221,-0.073486,1.005981,-0.122070,0.183105,0.732422
2.370044,0.001099,-0.076172,1.004395,-0.122070,0.183105,0.549316
1.254826,0.004639,-0.073730,1.001709,0.000000,0.183105,0.671387
3.027673,0.002197,-0.075562,1.003418,-0.183105,0.122070,0.610352
1.727321,0.000732,-0.074097,1.002808,-0.366211,0.000000,0.671387
16.430611,-0.131592,-0.084473,0.970459,-3.540039,0.854492,1.708984
62.670933,0.060547,-0.116089,1.007935,1.098633,0.061035,-4.638672
237.422433,0.058472,-0.157349,1.023438,10.437012,-1.098633,-0.854492
1307.802861,0.000244,-0.082886,0.987915,15.930176,0.122070,0.854492
1391.473930,0.007202,-0.062134,1.000122,-0.061035,0.183105,0.732422
1395.750416,0.007690,-0.069336,1.004517,-0.610352,0.000000,0.732422
2.249423,0.011719,-0.060669,0.999146,0.915527,0.061035,0.488281
3.955649,-0.019043,-0.054810,0.918701,3.356934,-3.662109,0.366211
427.230809,0.009033,-0.075684,0.994629,-1.831055,0.183105,0.610352
415.557636,0.010742,-0.075073,1.005493,-1.037598,0.061035,0.854492
412.497692,0.010620,-0.050415,0.989990,-1.281738,0.549316,0.793457
416.462681,0.017456,-0.083130,1.002441,-6.408691,0.732422,1.464844
417.916892,0.010986,-0.067505,0.997314,-0.427246,0.183105,0.732422
419.027892,0.011108,-0.093262,1.000488,0.000000,0.244141,0.976562
414.940140,0.015747,-0.069092,1.002563,1.037598,-0.061035,0.610352
229.296558,0.007446,-0.080933,1.010498,0.366211,0.061035,0.427246
2.965035,0.008179,-0.068359,0.997070,-1.281738,0.427246,0.915527
4.258436,0.011353,-0.103149,1.018433,1.037598,0.000000,0.122070
119.857158,0.019287,-0.087036,1.024292,5.493164,0.549316,0.915527
253.701404,0.011719,-0.061035,1.002075,-5.615234,0.244141,1.220703
253.302247,0.015869,-0.064209,1.006592,-1.831055,0.122070,0.793457
255.375875,0.011353,-0.059448,1.002319,-0.793457,0.183105,0.610352
100.349215,0.008057,-0.063721,0.994141,3.112793,0.061035,0.366211
1.331051,0.011963,-0.067383,1.003418,2.319336,0.122070,0.610352
152.782316,0.011963,-0.098999,1.010132,1.892090,-0.305176,0.976562
7.021208,0.005981,-0.101074,1.000366,-0.244141,0.366211,0.671387
4.359515,0.004639,-0.101196,1.001099,-0.244141,0.366211,0.732422
3.076753,0.007202,-0.101929,1.003784,-0.305176,0.183105,0.610352
1.901358,0.005005,-0.104248,0.999146,-0.061035,0.122070,0.610352
17.077987,0.007690,-0.104736,1.001465,-0.610352,0.305176,0.610352
394.284813,0.008423,-0.103516,0.997681,-0.183105,0.061035,0.671387
414.135348,0.003906,-0.101929,1.002563,-0.488281,0.183105,0.732422
411.939033,0.003662,-0.101807,1.000488,-0.305176,-0.427246,0.671387
413.375811,0.003418,-0.097412,1.030762,-0.549316,0.122070,0.732422
416.053439,0.012451,-0.100708,1.011963,0.305176,0.427246,1.159668
414.950861,0.001221,-0.077271,0.996338,6.469727,-1.220703,0.488281
440.204610,-0.068604,0.020142,0.848389,23.681641,19.287109,-5.981445
319.057279,0.001587,-0.152466,0.837524,26.916504,-21.606445,-2.563477
487.253114,0.175293,-0.130371,0.904053,-12.451172,8.789062,-11.474609
282.472542,0.021240,-0.051758,0.879395,-24.658203,-55.114746,-0.732422
502.435159,0.172485,-0.146606,1.013672,-0.061035,-1.098633,-10.375977
388.308324,0.074829,-0.080444,1.001953,1.037598,5.187988,-0.915527
415.449654,0.039062,-0.107544,1.001465,-0.244141,0.183105,0.793457
432.621553,0.033325,-0.094727,0.999512,-0.366211,0.366211,0.854492
6.622718,0.004761,-0.099243,1.002563,-0.183105,0.061035,0.732422
4.811506,0.007202,-0.097900,1.002930,-0.305176,0.183105,0.793457
-5.626118,0.094238,-0.074463,1.037720,16.174316,-17.089844,5.554199
-13.377759,0.262817,-0.085205,0.941162,-2.319336,-19.470215,-3.051758
-111.116914,0.577637,-0.075928,0.794434,0.244141,-34.545898,-5.798340
-486.834174,0.914917,-0.049316,0.378662,11.169434,-19.287109,0.854492
-866.435810,0.997437,0.146851,0.084839,32.470703,-6.286621,1.159668
-849.623886,0.901855,0.013062,0.424561,-22.521973,18.188477,0.549316
-553.736631,0.873169,0.099731,0.563599,11.718750,5.554199,3.784180
-532.487871,0.828369,0.119995,0.548828,-1.708984,0.549316,-2.136230
-683.805750,0.883179,0.043823,0.506958,-8.361816,0.366211,1.098633
-964.421750,0.855469,-0.011597,0.536743,1.342773,0.671387,0.732422
-1011.894910,0.854004,-0.013306,0.516602,0.122070,0.244141,0.671387
-1013.388568,0.852295,-0.005859,0.521484,-0.915527,-0.183105,0.671387
-1013.777625,0.855591,-0.015503,0.535522,-0.671387,-0.122070,0.671387
-1013.148543,0.855957,-0.017944,0.542358,-0.183105,0.061035,0.671387
-1014.511181,0.855591,-0.016724,0.545044,-0.366211,0.244141,0.732422
-1035.476058,0.877563,-0.083252,0.523193,1.037598,0.244141,-3.662109
-478.597958,0.684326,-0.189331,0.810791,-73.303223,24.597168,9.094238
-225.189113,0.499756,-0.031128,0.908447,-23.315430,14.892578,3.295898
-402.906155,0.391479,-0.125488,1.139404,3.784180,26.306152,12.145996
-21.530723,0.161011,-0.303101,1.117676,-12.084961,-11.596680,2.807617
2.522891,0.233887,-0.022217,0.821655,-7.751465,-21.545410,51.818848
-82.584853,0.310303,-0.229126,1.199463,106.018066,-6.042480,40.588379
-29.687962,0.393433,-0.003540,0.834229,-2.685547,7.263184,20.568848
-214.668310,0.517578,-0.075684,0.897339,-22.277832,-20.690918,13.122559
-163.755680,0.689697,-0.023560,0.672607,87.402344,24.230957,32.043457
-305.661577,0.782471,0.155640,0.848389,109.680176,15.563965,67.810059
-336.524411,0.522949,0.139526,0.844849,27.099609,24.719238,38.146973
-173.640552,0.677246,0.416504,0.833008,-13.427734,-41.564941,45.837402
-199.318964,0.655884,0.175171,0.811768,-23.559570,-29.663086,20.568848
-381.500005,-0.048218,-0.334961,1.016479,12.573242,16.723633,4.943848
-117.047367,0.052490,-0.208252,0.642822,-1.525879,-4.150391,1.708984
20.699136,0.268799,-0.339600,1.031860,52.490234,11.535645,9.582520
-118.022396,0.508667,-0.249268,1.034424,46.020508,-22.338867,32.104492
-344.699256,0.821289,-0.253540,0.528564,-135.253906,-33.630371,-103.759766
-932.332599,0.939575,0.215820,0.207275,-67.687988,-5.371094,38.818359
-519.191853,0.519287,-0.137573,0.695435,-6.591797,32.409668,-23.925781
-534.618267,0.751465,-0.077271,0.491699,47.424316,-30.273438,17.150879
-351.502078,0.589111,0.193359,0.793457,-90.759277,10.314941,23.803711
-194.782286,0.366821,-0.016479,1.008545,32.775879,3.906250,18.493652
-745.371209,0.357666,-0.098511,1.115845,-1.098633,18.249512,5.920410
362.387455,0.047363,-0.122559,0.849365,18.615723,-7.080078,-2.380371
155.014191,0.048340,0.032959,0.996704,-6.958008,-2.197266,16.784668
202.277365,0.258179,-0.083252,0.818604,0.793457,-4.760742,3.479004
128.066806,0.331909,0.031372,0.962280,-25.573730,-18.066406,-1.892090
110.848178,0.620605,-0.088135,0.765747,5.859375,-6.835938,1.464844
-63.125505,0.568237,-0.141968,0.817749,7.141113,-2.075195,0.244141
-167.298056,0.623291,-0.099976,0.853027,-1.098633,-1.708984,1.953125